,links,names,ratings,price for two,cuisine
95,https://www.zomato.com/bangalore/meat-and-eat-domlur/order,Meat And Eat,3.7,₹400 for one,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts"
96,https://www.zomato.com/bangalore/asha-sweet-center-since-1951-shanti-nagar-bangalore/order,Asha Sweet Center - Since 1951,4.1,₹400 for one,"North Indian, Mithai, Fast Food"
97,https://www.zomato.com/bangalore/call-me-chow-btm-bangalore/order,Call Me Chow,4.2,₹400 for one,"Chinese, Japanese, Thai, Indonesian, Asian"
98,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order,New Udupi Garden,3.8,₹400 for one,"South Indian, North Indian, Chinese, Salad, Biryani, Ice Cream, Shake, Beverages"
99,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore/order,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.2,₹400 for one,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food"
100,https://www.zomato.com/bangalore/mandya-nati-style-vijay-nagar-bangalore/order,Mandya Nati Style,3.4,₹400 for one,"South Indian, Biryani"
101,https://www.zomato.com/bangalore/pizza-house-1-rt-nagar-bangalore/order,Pizza House,4.1,₹400 for one,"Pizza, Fast Food, Burger"
102,https://www.zomato.com/bangalore/meghana-biryani-btm-bangalore/order,Meghana Biryani,3.2,₹400 for one,"Biryani, North Indian, Mughlai, Chinese"
103,https://www.zomato.com/bangalore/itc-aashirvaad-soul-creations-commercial-street-bangalore/order,ITC Aashirvaad Soul Creations,4.4,₹400 for one,"North Indian, Healthy Food, Beverages, Desserts"
104,https://www.zomato.com/bangalore/sangam-sweets-since-1964-majestic-bangalore/order,Sangam Sweets - Since 1964,4.4,₹400 for one,"Mithai, Street Food, Fast Food"
105,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-1-vasanth-nagar-bangalore/order,Great Indian Khichdi by EatFit,4.2,₹200 for one,"North Indian, Healthy Food, South Indian, Fast Food, Mithai, Juices, Desserts, Beverages"
106,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order,Brothers Biriyani,3.9,₹200 for one,"Biryani, South Indian"
107,https://www.zomato.com/bangalore/arogya-ahaara-jp-nagar-bangalore/order,Arogya Ahaara,4.1,₹200 for one,South Indian
108,https://www.zomato.com/bangalore/aubree-mg-road-bangalore/order,Aubree,4.2,₹200 for one,"Bakery, Desserts, Italian, Thai, Fast Food"
109,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order,Szechuan Dragon,4.2,₹200 for one,"Chinese, Asian, Thai, Beverages"
110,https://www.zomato.com/bangalore/abs-absolute-barbecues-btm/order,AB's - Absolute Barbecues,3.6,₹200 for one,"Biryani, BBQ, Kebab, North Indian, Desserts"
111,https://www.zomato.com/bangalore/new-shanthi-sagar-vijay-nagar/order,New Shanthi Sagar,3.8,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Fast Food, Biryani, Desserts, Beverages"
112,https://www.zomato.com/bangalore/the-dessert-heaven-pastry-brownie-and-cakes-banashankari-bangalore/order,"The Dessert Heaven - Pastry, Brownie and Cakes",3.9,₹200 for one,"Desserts, Bakery, Mithai"
113,https://www.zomato.com/bangalore/krishna-vaibhava-vijay-nagar-bangalore/order,Krishna Vaibhava,4.2,₹200 for one,"South Indian, North Indian, Mithai, Chinese, Biryani"
114,https://www.zomato.com/bangalore/madurai-idly-shop-1-koramangala-7th-block-bangalore/order,Madurai Idly Shop,4.1,₹200 for one,South Indian
115,https://www.zomato.com/bangalore/fb-cakes-1-btm-bangalore/order,FB Cakes,3.6,₹200 for one,Bakery
116,https://www.zomato.com/bangalore/apna-dhaba-basavanagudi-bangalore/order,Apna Dhaba,4.1,₹200 for one,"North Indian, Chinese"
117,https://www.zomato.com/bangalore/dum-safar-biryani-indiranagar-bangalore/order,Dum Safar Biryani,3.8,₹200 for one,"Biryani, North Indian, Kebab, BBQ, Beverages, Desserts"
118,https://www.zomato.com/bangalore/idc-kitchen-1-residency-road-bangalore/order,IDC Kitchen,4.4,₹200 for one,"South Indian, Beverages"
119,https://www.zomato.com/bangalore/olive-street-food-cafe-btm-bangalore/order,Olive Street Food Cafe,4.3,₹200 for one,"Fast Food, Burger, Shake, Beverages, Sandwich"
120,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,Siddique Kabab Centre,3.9,₹200 for one,"Mughlai, Chinese, North Indian, Rolls, Sichuan"
121,https://www.zomato.com/bangalore/itc-master-chef-creations-commercial-street-bangalore/order,ITC Master Chef Creations,4.2,₹200 for one,"North Indian, Biryani, Mughlai, Kebab, Rolls, Modern Indian, Desserts"
122,https://www.zomato.com/bangalore/paris-panini-gourmet-sandwiches-wraps-church-street-bangalore/order,Paris Panini - Gourmet Sandwiches & Wraps,4.4,₹200 for one,"Sandwich, Wraps, Pasta, Salad, Desserts, Continental"
123,https://www.zomato.com/bangalore/basaveshwar-khanavali-2-residency-road-bangalore/order,Basaveshwar Khanavali,4.3,₹200 for one,South Indian
124,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order,Sagar Hotel,4.2,₹200 for one,"North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages"
125,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,WOW! China,3.7,₹200 for one,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos"
126,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order,Roti Ghar,4.2,₹200 for one,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages"
127,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-frazer-town-bangalore/order,Biryani Trip - Destination Hyderabad,4.1,₹200 for one,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi"
128,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-shanti-nagar-bangalore/order,Sweet Truth - Cake and Desserts,4.0,₹200 for one,"Bakery, Desserts, Ice Cream"
129,https://www.zomato.com/bangalore/olio-the-wood-fired-pizzeria-vasanth-nagar-bangalore/order,Olio - The Wood Fired Pizzeria,4.1,₹250 for one,"Pizza, Italian, Fast Food, Beverages"
130,https://www.zomato.com/bangalore/the-biryani-life-shanti-nagar-bangalore/order,The Biryani Life,3.9,₹200 for one,"Biryani, Mughlai"
131,https://www.zomato.com/bangalore/zomoz-the-momo-company-basaveshwara-nagar-bangalore/order,Zomoz - The Momo Company,4.1,₹150 for one,"Momos, Fast Food"
132,https://www.zomato.com/bangalore/punjabi-unplugged-pure-veg-banashankari-bangalore/order,Punjabi Unplugged Pure Veg,3.8,₹100 for one,"Chinese, North Indian"
133,https://www.zomato.com/bangalore/sri-sai-cafe-basavanagudi-bangalore/order,Sri Sai Cafe,4.1,₹100 for one,"South Indian, Chinese, Street Food, North Indian"
134,https://www.zomato.com/bangalore/thalassery-restaurant-airport-road-bangalore/order,Thalassery Restaurant,4.0,₹400 for one,"Kerala, South Indian"
135,https://www.zomato.com/bangalore/ghee-tadka-khichdi-frazer-town-bangalore/order,Ghee Tadka Khichdi,4.1,₹100 for one,North Indian
136,https://www.zomato.com/bangalore/the-cake-deluxe-basavanagudi-bangalore/order,The Cake Deluxe,3.7,₹150 for one,Bakery
137,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,Biryani Blues,4.4,₹350 for one,"Biryani, Hyderabadi, Mughlai"
138,https://www.zomato.com/bangalore/mangalore-kitchen-vijay-nagar-bangalore/order,Mangalore Kitchen,4.2,₹200 for one,"Mangalorean, Seafood, Chinese, North Indian, Andhra, Mughlai, Arabian, Beverages"
139,https://www.zomato.com/bangalore/charminar-biryani-house-1-btm-bangalore/order,Charminar Biryani House,3.9,₹150 for one,"Biryani, North Indian, Chinese"
140,https://www.zomato.com/bangalore/egg-corner-vijay-nagar-bangalore/order,Egg Corner,4.0,₹100 for one,"Fast Food, Street Food"
141,https://www.zomato.com/bangalore/sri-vishnu-park-btm/order,Sri Vishnu Park,4.0,₹100 for one,"South Indian, North Indian, Chinese, Biryani, Sandwich, Street Food, Desserts, Shake"
142,https://www.zomato.com/bangalore/desi-masala-1-majestic-bangalore/order,Desi Masala,4.2,₹100 for one,"North Indian, Chinese, Biryani"
143,https://www.zomato.com/bangalore/chef-bakers-1-new-bel-road-bangalore/order,Chef Bakers,3.1,₹100 for one,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts"
144,https://www.zomato.com/bangalore/al-zara-mandi-arabian-restaurant-frazer-town-bangalore/order,Al Zara Mandi Arabian Restaurant,4.2,₹100 for one,"North Indian, Mandi, Mughlai, Kebab, Desserts"
145,https://www.zomato.com/bangalore/shanthi-sagar-basaveshwara-nagar/order,Shanthi Sagar,4.0,₹100 for one,"South Indian, North Indian, Chinese, Biryani, Ice Cream, Juices, Shake, Beverages"
146,https://www.zomato.com/bangalore/art-of-delight-residency-road/order,Art of Delight,4.5,₹100 for one,"Ice Cream, Desserts, Waffle, Beverages"
147,https://www.zomato.com/bangalore/brik-oven-church-street/order,Brik Oven,4.1,₹100 for one,"Pizza, Italian, Beverages, Desserts, Shake"
148,https://www.zomato.com/bangalore/purani-dilli-by-anand-sweets-commercial-street-bangalore/order,Purani Dilli By Anand Sweets,4.2,₹100 for one,"North Indian, Street Food, Mithai, Chinese, Pizza, Rolls"
149,https://www.zomato.com/justbakehanumanthnagar/order,Just Bake,4.0,₹100 for one,"Bakery, Desserts"
150,https://www.zomato.com/bangalore/shree-mahalakshmi-sweets-2-basavanagudi-bangalore/order,Shree Mahalakshmi Sweets,4.3,₹100 for one,"Mithai, Street Food"
151,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order,New Shanthi Sagar,4.0,₹100 for one,"North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake"
152,https://www.zomato.com/bangalore/biryani-crafts-btm-bangalore/order,Biryani Crafts,3.9,₹100 for one,"Biryani, North Indian, Chinese, Seafood, Street Food"
153,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-shanti-nagar-bangalore/order,Marwadi Chaat & Tiffin Services,3.6,₹150 for one,"North Indian, Chinese, Street Food, Beverages"
154,https://www.zomato.com/bangalore/raidan-restaurant-1-frazer-town-bangalore/order,Raidan Restaurant,3.9,₹150 for one,"Arabian, Lebanese, North Indian, Chinese, Mughlai, Beverages"
155,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order,Kailash Parbat,3.5,₹150 for one,"North Indian, Street Food, Biryani, Desserts, Beverages"
156,https://www.zomato.com/bangalore/99-varieties-dosa-pav-bhaji-btm-bangalore/order,99 Varieties Dosa & Pav Bhaji,4.0,₹150 for one,"South Indian, Maharashtrian, Sichuan, Street Food"
157,https://www.zomato.com/bangalore/razakhiya-hotel-hbr-layout-bangalore/order,Razakhiya Hotel,3.8,₹150 for one,"Rolls, Chinese, North Indian, Seafood, Biryani, Sichuan"
158,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order,Starbucks Coffee,4.1,₹150 for one,"Cafe, Coffee, Desserts, Beverages"
159,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order,Hotel Karavali Food Point,3.6,₹150 for one,"Mangalorean, South Indian, North Indian, Chinese"
