image,year,car_name,kms_driven,fuel,mode,price(lakhs),area,city
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Honda,"45,307",Petrol,Automatic,12.5,Chembur, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,"34,804",Petrol,Automatic,9.25,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3915092/original/processed_f36043f7e8f7caa4dd4dc3014d739869.jpg?imwidth=420,2020,Kia,"17,806",Petrol,Manual,10.85,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Honda,"63,069",Petrol,Manual,5.4,Prabhadevi, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Maruti,"30,389",Petrol,Manual,3.25,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3924237/original/processed_ae074af63ca473af00abb42e8e35cd6a.jpg?imwidth=420,2020,Tata,"50,800",Diesel,Automatic,18.95,Kandivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Skoda,"85,000",Diesel,Automatic,6.25,V K Bhavan, Mumbai
https://images10.gaadi.com/usedcar_image/3920069/original/processed_c5cb1b12daddde9f3f656973196ddefd.jpg?imwidth=420,2017,Honda,"48,650",Petrol,Manual,6.85,Kharghar, Navi Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,"75,175",Petrol,Manual,7.92,Mulund West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Hyundai,"64,000",Diesel,Manual,3.95,Mira Road East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Mercedes-Benz,"53,300",Petrol,Automatic,17.5,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Skoda,"62,000",Petrol,Automatic,4.45,S.o, Mira Road
https://images10.gaadi.com/usedcar_image/3924008/original/processed_a320c6bfa6ddfb4928920d4915baabfd.jpg?imwidth=420,2018,Toyota,"32,000",Petrol,Automatic,21.85,Goregaon (w), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Skoda,"55,205",Petrol,Automatic,6.1,Prabhadevi, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,"32,000",Petrol,Automatic,7.45,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Tata,"25,000",Electric,Automatic,12.49,Borivali West, Mumbai
